IMEI,Serial,Modelo,Descripción,Compañía,"Última Conexión",Firmware,Estado
359632104532566,1109609308,MTB100,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-03-07 13:06:48",03.25.15.Rev.32,Offline
359632104580326,1109598221,MTB100,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2026-02-17 04:48:39",03.25.15.Rev.32,Online
359632104580334,1109598212,MTB100,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2023-04-06 03:18:10",03.25.15.Rev.32,Offline
359632104580359,1109598224,MTB100,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2021-02-19 11:23:10",03.25.15.Rev.32,Offline
359632109415601,1109033201,FMB130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-03-27 16:37:47",03.25.15.Rev.32,Offline
860896050795301,1124114386,FMC130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-10-18 22:36:58",03.27.13.Rev.54,Offline
860896050797562,1124113446,FMC130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2025-09-05 13:56:05",03.29.00.Rev.13,Offline
860896052102183,1128970688,FMC130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2025-01-31 16:06:24",03.29.00.Rev.18,Offline
860896052109840,1128970682,FMC130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2024-05-30 13:40:16",03.29.00.Rev.13,Offline
864292045821665,1118798915,FMC130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2026-02-17 15:02:25",03.29.00.Rev.18,Online
864292045822804,1118798974,FMC130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-12-22 10:22:42",03.27.07.Rev.00,Offline
864292045823422,1118799570,FMC130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2023-08-18 20:22:48",03.27.07.Rev.00,Offline
864292045852116,1118799577,FMC130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2023-08-15 14:22:34",03.27.07.Rev.00,Offline
864292045852181,1118799580,FMC130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-10-07 01:00:48",03.27.07.Rev.00,Offline
864352041092693,1108929411,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2021-09-14 12:11:33",03.25.10.Rev.166,Offline
864352041092750,1108929445,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2023-04-28 20:14:11",03.27.07.Rev.00,Offline
864352041093808,1108930587,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2023-04-12 16:01:12",03.27.07.Rev.00,Offline
864352041093956,1108929436,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2023-04-01 13:08:04",03.27.07.Rev.00,Offline
864352041094525,1108930554,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2023-05-12 19:33:38",03.27.14.Rev.00,Offline
864352041094681,1108930550,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-06-28 20:22:31",03.27.07.Rev.00,Offline
864352041095498,1108930557,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2026-02-17 06:53:20",03.27.07.Rev.00,Online
864352041095779,1108930561,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2023-04-04 19:41:23",03.27.07.Rev.00,Offline
864352041112509,1108929409,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-01-10 11:04:58",03.27.07.Rev.00,Offline
864352041112848,1108930584,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2020-12-23 14:10:46",03.25.10.Rev.166,Offline
864352041114349,1108930581,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-03-15 18:37:16",03.27.07.Rev.00,Offline
864352041114604,1108929922,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-10-28 20:11:05",03.27.07.Rev.00,Offline
864352041118175,1108929968,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-06-12 22:58:10",03.27.07.Rev.00,Offline
864352041119157,1108929940,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA",,N/A,Inactive
864352041119173,1108929967,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2025-01-21 19:36:28",03.27.07.Rev.00,Offline
864352041121401,1108929946,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2023-04-05 22:50:01",03.27.07.Rev.00,Offline
864352041123514,1108929796,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2023-07-27 17:44:29",03.27.14.Rev.00,Offline
864352041123845,1108926493,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-04-30 00:38:08",03.27.07.Rev.00,Offline
864352041125550,1108929949,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-06-13 16:14:21",03.27.07.Rev.00,Offline
864352041125600,1108929879,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-07-24 17:52:24",03.27.07.Rev.00,Offline
864352041125808,1108929912,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2023-06-03 14:19:41",03.27.07.Rev.00,Offline
864352041139544,1108929944,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2024-04-19 04:18:09",03.27.14.Rev.00,Offline
864352041142878,1108930577,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-06-14 21:26:45",03.27.07.Rev.00,Offline
864352041143199,1108929941,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-06-25 17:26:03",03.27.07.Rev.00,Offline
864352043583475,1109620998,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2023-05-09 10:50:22",03.27.07.Rev.00,Offline
864352043586742,1109620999,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2025-05-20 17:19:45",03.27.07.Rev.00,Offline
864352043809524,1109623173,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-03-30 20:17:31",03.27.07.Rev.00,Offline
864352043813674,1109622934,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2023-05-12 19:56:02",03.27.14.Rev.00,Offline
864352043814193,1109623000,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2023-05-16 04:08:39",03.27.14.Rev.00,Offline
864352043814839,1109623166,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2023-06-01 10:07:42",03.27.14.Rev.00,Offline
864352043830827,1109623813,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2023-12-19 17:47:58",03.27.07.Rev.00,Offline
864352043833375,1109623039,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2023-04-14 18:04:20",03.27.14.Rev.00,Offline
864352043835099,1109620751,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-06-17 19:46:32",03.27.07.Rev.00,Offline
864352043840487,1109620814,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-06-17 21:36:37",03.27.07.Rev.00,Offline
865413051132552,1133952217,FMC920,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2025-11-18 00:11:10",04.00.00.Rev.14,Offline
865413051205382,1134957522,TAT140,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA",,N/A,Inactive
865413051847597,1133810121,FMC920,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2024-01-15 09:48:55",03.29.00.Rev.13,Offline
865413051851631,1133786769,FMC920,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2026-02-17 14:03:41",04.00.00.Rev.14,Online
865413051851664,1133786767,FMC920,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2024-09-16 17:18:21",03.29.00.Rev.13,Offline
865413051851797,1133786763,FMC920,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2024-08-03 19:17:50",03.29.00.Rev.13,Offline
865413052030326,1133953722,FMC920,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2025-06-10 07:53:47",03.29.00.Rev.13,Offline
865413052039095,1133812489,FMC920,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2026-02-17 10:42:42",04.00.00.Rev.14,Online
865413052039178,1133812493,FMC920,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2026-02-17 16:33:23",03.29.00.Rev.13,Online
865413052055737,1133813387,FMC920,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2026-02-17 12:17:51",04.00.00.Rev.14,Online
865413052055786,1133813376,FMC920,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2023-11-07 14:47:51",03.28.02.Rev.197,Offline
865413052065553,1133813351,FMC920,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2026-02-17 15:30:44",04.00.00.Rev.14,Online
865413052065579,1133813355,FMC920,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2026-02-17 08:43:14",03.29.00.Rev.13,Online
865413052213096,1133953145,FMC920,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2026-02-17 05:46:25",04.00.00.Rev.14,Online
865413052213955,1133953267,FMC920,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2024-11-04 11:49:21",03.29.00.Rev.13,Offline
865413053718341,1135866794,FMC920,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2026-02-17 09:54:36",03.29.00.Rev.19,Online
865413055364649,1136743841,FMC920,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2026-02-17 11:10:09",04.00.00.Rev.14,Online
865413056132862,1139612235,FMC920,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2025-05-26 12:04:21",03.29.00.Rev.13,Offline
865413057235888,1145691888,FMC150,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA",,N/A,Inactive
865413057235979,1145691881,FMC150,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA",,N/A,Inactive
866381052297907,1113970610,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2026-02-15 15:31:26",03.27.07.Rev.00,Offline
866381052299366,1113967983,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2023-04-29 01:04:14",03.27.14.Rev.00,Offline
866381053703325,1114575628,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-07-04 17:39:36",03.27.07.Rev.00,Offline
866381053714322,1114574153,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-04-16 12:02:36",03.27.07.Rev.00,Offline
866381053749534,1114576392,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2024-06-12 22:39:07",03.27.07.Rev.00,Offline
866381053809148,1114595419,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2025-08-15 08:46:40",03.27.04.Rev.01,Offline
866381053828825,1114574433,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-04-20 06:29:02",03.27.07.Rev.00,Offline
866381053830516,1114574450,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2024-12-04 10:52:59",03.27.04.Rev.01,Offline
866381053830581,1114574405,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-11-24 04:46:54",03.27.07.Rev.00,Offline
866381053830706,1114574395,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2023-03-13 21:18:22",03.27.13.Rev.03,Offline
866381053830789,1114574396,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2024-01-30 13:51:14",03.27.07.Rev.00,Offline
866381053837065,1114593409,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2023-06-10 03:28:44",03.27.14.Rev.00,Offline
866381053837149,1114593413,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-09-03 06:54:51",03.27.07.Rev.00,Offline
866381056307462,1117710067,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2024-09-28 14:46:44",03.27.14.Rev.00,Offline
866381056307488,1117710071,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-05-04 21:14:37",03.27.07.Rev.00,Offline
866381056307512,1117710065,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-09-28 11:15:00",03.27.07.Rev.00,Offline
866381056307520,1117710068,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2024-08-04 18:32:38",03.27.07.Rev.00,Offline
866381056307587,1117710072,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-05-01 17:30:16",03.27.07.Rev.00,Offline
866381056327379,1117710073,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-04-20 14:58:16",03.27.07.Rev.00,Offline
866381056327387,1117710074,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2023-03-27 17:06:53",03.27.07.Rev.00,Offline
866381056500447,1117702629,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-04-25 14:56:52",03.27.07.Rev.00,Offline
866381056508176,1117702409,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2023-05-15 20:59:00",03.27.14.Rev.00,Offline
867553055115992,1110878422,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-12-05 21:03:28",03.27.07.Rev.00,Offline
867553055124812,1110874932,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2025-03-23 15:51:03",03.27.07.Rev.00,Offline
867553055125322,1110874927,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-04-27 13:39:39",03.27.07.Rev.00,Offline
867553055133276,1110877170,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2023-05-09 09:32:16",03.27.14.Rev.00,Offline
867553055146807,1110876994,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2023-05-12 22:56:45",03.27.07.Rev.00,Offline
868998039300963,1107096720,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2023-05-13 02:19:17",03.27.07.Rev.00,Offline
868998039306812,1107096719,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA",,N/A,Inactive
868998039306937,1107096706,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-10-14 11:27:50",03.27.07.Rev.00,Offline
868998039310848,1107096716,FMU130,,"TALENTUS TECHNOLOGY EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA","2022-06-24 01:24:53",03.27.07.Rev.00,Offline
